inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
1,1,3,295,22,637,2024-05-22
2,1,2,99,25,282,2025-05-14
3,1,5,167,17,821,2024-12-18
4,2,3,417,15,279,2024-10-07
5,3,5,416,34,811,2024-04-21
6,4,4,83,22,972,2024-11-09
7,4,1,109,37,593,2025-09-12
8,4,5,395,33,545,2024-01-13
9,5,5,86,11,612,2024-11-30
10,6,5,175,29,436,2024-10-11
11,7,4,71,33,356,2025-09-08
12,7,3,380,17,783,2024-10-04
13,8,2,296,16,977,2025-02-04
14,9,5,473,19,629,2024-03-04
15,9,1,159,25,240,2024-05-24
16,10,1,407,20,607,2024-06-05
17,11,5,328,40,400,2024-12-31
18,11,1,165,50,970,2024-03-05
19,11,2,343,11,603,2024-09-09
20,12,3,128,29,885,2025-03-10
21,12,4,403,43,210,2024-01-06
22,13,4,342,34,453,2025-05-23
23,13,3,147,46,575,2024-12-21
24,14,1,328,40,643,2025-07-05
25,15,3,122,17,945,2025-02-15
26,16,3,118,16,337,2025-09-23
27,16,2,351,32,810,2025-05-09
28,16,4,171,15,399,2024-06-10
29,17,5,26,39,599,2025-06-20
30,17,3,20,24,289,2024-04-07
31,18,2,259,12,239,2024-07-04
32,18,4,65,11,396,2024-11-13
33,19,3,470,26,831,2025-05-17
34,19,5,455,50,752,2024-11-28
35,20,4,81,18,504,2025-11-06
36,20,4,112,41,597,2024-07-26
37,20,3,153,41,926,2024-04-01
38,21,5,159,43,319,2025-04-12
39,21,1,141,14,453,2024-06-18
40,21,5,417,30,289,2025-04-10
41,22,4,443,39,478,2025-02-20
42,23,4,62,46,268,2024-01-06
43,24,2,290,32,581,2024-03-25
44,24,3,188,19,672,2025-03-04
45,24,1,117,36,998,2024-06-02
46,25,4,479,25,750,2024-12-29
47,26,2,211,47,432,2025-03-28
48,26,3,355,37,511,2024-11-07
49,26,5,71,18,624,2024-08-15
50,27,4,244,36,864,2024-10-09
51,28,3,47,39,850,2024-08-23
52,28,1,15,20,216,2025-02-03
53,29,4,454,29,218,2024-05-07
54,29,1,408,32,964,2025-02-24
55,30,1,275,36,713,2025-04-20
56,31,3,374,47,990,2024-08-06
57,31,5,101,40,845,2025-03-08
58,32,5,47,16,758,2024-06-24
59,32,1,206,10,333,2025-10-23
60,33,4,72,49,777,2025-04-24
61,33,2,100,10,775,2025-05-01
62,33,2,105,50,589,2024-11-07
63,34,5,106,39,270,2024-08-24
64,34,1,227,49,383,2025-09-30
65,34,1,124,13,399,2025-03-25
66,35,2,462,44,922,2024-10-05
67,35,2,170,16,955,2025-09-19
68,36,5,292,16,343,2025-10-15
69,36,5,181,24,662,2024-08-14
70,36,5,471,24,847,2025-11-26
71,37,2,90,49,370,2025-07-13
72,37,3,499,23,441,2024-01-18
73,37,3,397,13,616,2025-07-05
74,38,4,111,19,718,2025-04-08
75,38,5,497,39,866,2024-03-26
76,39,2,157,10,222,2024-11-06
77,39,2,466,12,323,2025-08-13
78,40,4,455,32,979,2025-09-19
79,40,3,2,15,768,2024-12-21
80,41,1,21,48,852,2024-09-18
81,41,4,77,43,374,2024-06-03
82,42,2,374,35,510,2025-07-22
83,43,5,194,45,578,2025-01-27
84,44,4,296,16,279,2025-01-04
85,44,4,414,49,204,2025-08-31
86,45,1,212,13,586,2025-05-27
87,45,2,46,38,374,2024-12-13
88,45,3,270,45,367,2025-01-21
89,46,1,438,23,930,2024-05-20
90,47,3,471,18,386,2025-01-23
91,47,4,148,15,644,2024-02-18
92,47,2,373,42,996,2025-02-14
93,48,3,248,31,631,2025-10-18
94,48,4,124,44,278,2024-09-29
95,49,3,405,45,540,2024-03-10
96,49,5,357,23,473,2025-09-25
97,49,1,293,11,649,2025-02-26
98,50,3,397,18,460,2025-05-20
99,50,3,419,14,978,2025-11-23
100,51,5,43,10,928,2024-02-26
101,52,3,151,47,750,2025-02-04
102,52,1,35,24,852,2024-07-27
103,53,3,202,20,616,2024-05-25
104,53,4,134,21,916,2024-10-22
105,54,5,177,42,389,2025-02-07
106,54,4,384,39,392,2024-11-30
107,54,3,159,26,796,2025-04-03
108,55,4,473,27,638,2024-02-29
109,55,1,327,25,268,2025-04-29
110,56,2,461,48,485,2024-12-11
111,56,1,123,50,683,2025-05-06
112,57,2,433,13,504,2025-08-16
113,58,2,316,43,284,2024-04-29
114,59,3,413,27,638,2024-09-03
115,60,2,305,37,247,2025-08-10
116,60,2,218,16,635,2024-03-20
117,61,3,282,26,331,2025-04-30
118,61,5,434,46,246,2025-04-18
119,61,3,17,41,537,2024-09-09
120,62,1,236,33,214,2025-07-25
121,62,3,447,10,453,2024-01-20
122,63,3,255,40,706,2024-08-30
123,64,1,417,17,859,2024-09-10
124,64,4,384,26,777,2024-11-11
125,65,2,443,19,778,2024-09-04
126,65,5,368,33,772,2024-01-02
127,66,1,170,41,586,2024-06-24
128,66,5,179,34,411,2024-06-10
129,66,2,37,41,965,2025-03-31
130,67,4,225,40,238,2025-12-06
131,67,3,472,17,819,2024-11-26
132,68,5,211,22,433,2024-08-09
133,68,2,34,20,937,2024-10-30
134,69,3,18,30,460,2025-07-07
135,69,1,315,27,296,2025-10-03
136,70,5,293,34,356,2025-01-25
137,71,5,238,30,300,2024-10-11
138,72,4,22,31,408,2024-10-17
139,73,5,89,19,932,2025-03-06
140,73,2,50,14,462,2025-07-25
141,74,4,110,14,223,2025-12-13
