order_id,order_number,customer_id,order_date,status,subtotal,discount_percent,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,promotion_id,notes
1,ORD-20250302-00001,216,2025-03-02,pendiente,3076.17,3,430,646,4059.88,debit_card,express,,
2,ORD-20250902-00002,220,2025-09-02,enviado,1614.53,10,60,339.05,1852.13,bank_transfer,same_day,,
3,ORD-20241103-00003,124,2024-11-03,cancelado,221.74,6,290,46.57,545.01,credit_card,pickup,5,
4,ORD-20250215-00004,227,2025-02-15,pendiente,355.57,1,270,74.67,696.68,debit_card,same_day,,
5,ORD-20250313-00005,84,2025-03-13,pendiente,410.94,5,480,86.3,956.69,paypal,same_day,,Nota del cliente: Llamar antes
6,ORD-20250124-00006,326,2025-01-24,pendiente,1539.97,1,270,323.39,2117.96,cash_on_delivery,same_day,,
7,ORD-20230227-00007,188,2023-02-27,entregado,3118.51,0,380,654.89,4153.4,bank_transfer,standard,3,Nota del cliente: Dejar en portería
8,ORD-20241130-00008,161,2024-11-30,procesando,391.69,17,380,82.25,787.35,credit_card,pickup,3,Nota del cliente: Entregar por la tarde
9,ORD-20230529-00009,33,2023-05-29,entregado,563.19,7,390,118.27,1032.04,cash_on_delivery,express,,
10,ORD-20230313-00010,270,2023-03-13,entregado,471.14,14,290,98.94,794.12,paypal,pickup,,
11,ORD-20241028-00011,154,2024-10-28,cancelado,3405.87,8,260,715.23,4108.63,credit_card,express,5,
12,ORD-20241112-00012,204,2024-11-12,entregado,5655.75,15,240,1187.71,6235.1,credit_card,express,,
13,ORD-20231012-00013,63,2023-10-12,enviado,1546.85,7,260,324.84,2023.41,paypal,standard,,
14,ORD-20250120-00014,316,2025-01-20,procesando,59.07,3,430,12.4,499.7,credit_card,express,,
15,ORD-20240805-00015,6,2024-08-05,cancelado,1905.81,18,160,400.22,2122.98,cash_on_delivery,pickup,,
16,ORD-20241020-00016,158,2024-10-20,cancelado,1052.59,2,90,221.04,1342.58,paypal,pickup,9,
17,ORD-20250424-00017,22,2025-04-24,entregado,492.08,7,400,103.34,960.97,debit_card,express,,
18,ORD-20250212-00018,106,2025-02-12,enviado,2412.88,17,250,506.7,2759.39,cash_on_delivery,same_day,3,
19,ORD-20240915-00019,196,2024-09-15,entregado,3579.33,12,250,751.66,4151.47,credit_card,pickup,,
20,ORD-20240424-00020,25,2024-04-24,entregado,1277.3,11,10,268.23,1415.03,paypal,same_day,,
21,ORD-20240223-00021,247,2024-02-23,pendiente,1563.69,1,420,328.37,2296.42,paypal,same_day,3,Nota del cliente: Entregar por la tarde
22,ORD-20240828-00022,328,2024-08-28,entregado,600.98,3,420,126.21,1129.16,debit_card,pickup,,
23,ORD-20231103-00023,70,2023-11-03,procesando,4634.66,16,170,973.28,5036.39,debit_card,express,,
24,ORD-20230123-00024,98,2023-01-23,cancelado,1640.6,3,320,344.53,2255.91,cash_on_delivery,standard,,
25,ORD-20251021-00025,240,2025-10-21,cancelado,1299.94,12,250,272.99,1666.94,cash_on_delivery,express,,
26,ORD-20250731-00026,296,2025-07-31,procesando,1953.79,3,80,410.3,2385.48,paypal,express,2,
27,ORD-20230809-00027,258,2023-08-09,enviado,510.92,19,60,107.29,581.14,paypal,pickup,,Nota del cliente: Llamar antes
28,ORD-20250724-00028,84,2025-07-24,cancelado,5701.49,4,480,1197.31,7150.74,paypal,same_day,,
29,ORD-20250225-00029,203,2025-02-25,cancelado,1350.34,13,490,283.57,1948.37,debit_card,express,,
30,ORD-20250821-00030,98,2025-08-21,procesando,4335.25,1,270,910.4,5472.3,bank_transfer,same_day,,
31,ORD-20250806-00031,256,2025-08-06,procesando,1858.69,7,450,390.32,2568.9,credit_card,pickup,,Nota del cliente: Dejar en portería
32,ORD-20250913-00032,199,2025-09-13,cancelado,1108.28,7,110,232.74,1373.44,bank_transfer,same_day,,
33,ORD-20250114-00033,257,2025-01-14,cancelado,1168.15,17,20,245.31,1234.87,paypal,standard,,
34,ORD-20250610-00034,286,2025-06-10,procesando,1524.48,3,280,320.14,2078.89,cash_on_delivery,express,,
35,ORD-20250410-00035,177,2025-04-10,procesando,457.9,0,330,96.16,884.06,paypal,express,,
36,ORD-20230323-00036,271,2023-03-23,enviado,1322.8,16,10,277.79,1398.94,credit_card,same_day,,
37,ORD-20230417-00037,280,2023-04-17,pendiente,2057.03,8,100,431.98,2424.45,debit_card,same_day,,
38,ORD-20230401-00038,310,2023-04-01,procesando,503.9,12,310,105.82,859.25,credit_card,standard,,
39,ORD-20230425-00039,42,2023-04-25,entregado,1583.34,8,400,332.5,2189.17,bank_transfer,pickup,,
40,ORD-20240409-00040,310,2024-04-09,enviado,1639.2,11,100,344.23,1903.12,debit_card,same_day,,
41,ORD-20231212-00041,158,2023-12-12,pendiente,2909.34,20,150,610.96,3088.43,bank_transfer,pickup,,
42,ORD-20250906-00042,192,2025-09-06,cancelado,1986.36,6,420,417.14,2704.32,debit_card,pickup,,
43,ORD-20240813-00043,204,2024-08-13,procesando,263.1,15,430,55.25,708.89,bank_transfer,pickup,,
44,ORD-20240724-00044,324,2024-07-24,entregado,437.46,6,40,91.87,543.08,credit_card,standard,,
45,ORD-20250225-00045,213,2025-02-25,pendiente,3121.58,2,400,655.53,4114.68,cash_on_delivery,pickup,,
46,ORD-20230207-00046,155,2023-02-07,enviado,542.92,14,330,114.01,910.92,debit_card,express,,
47,ORD-20251209-00047,233,2025-12-09,procesando,3145.2,13,90,660.49,3486.81,bank_transfer,standard,,
48,ORD-20240610-00048,12,2024-06-10,enviado,1967.54,6,420,413.18,2682.67,debit_card,pickup,,
49,ORD-20231018-00049,139,2023-10-18,entregado,1678.79,16,420,352.55,2182.73,paypal,express,10,
50,ORD-20250827-00050,154,2025-08-27,entregado,3258.04,16,150,684.19,3570.94,debit_card,same_day,,
51,ORD-20230909-00051,98,2023-09-09,cancelado,250.82,10,310,52.67,588.41,cash_on_delivery,express,,
52,ORD-20240124-00052,77,2024-01-24,procesando,3304.06,2,10,693.85,3941.83,paypal,express,,Nota del cliente: Envolver para regalo
53,ORD-20241112-00053,13,2024-11-12,cancelado,2445.24,4,480,513.5,3340.93,cash_on_delivery,standard,,
54,ORD-20240114-00054,92,2024-01-14,procesando,2377.1,3,320,499.19,3124.98,cash_on_delivery,standard,,
55,ORD-20240728-00055,55,2024-07-28,entregado,1231.2,20,40,258.55,1283.51,credit_card,standard,8,
56,ORD-20240705-00056,256,2024-07-05,pendiente,5207.69,17,180,1093.61,5595.99,paypal,pickup,,
