review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,19,79,5,Cumple expectativas,Excelente relación calidad-precio.,false,14,2025-01-02
2,56,144,4,Recomendado,Llegó a tiempo y en perfecto estado.,true,28,2025-06-06
3,18,134,3,No tan bueno,Muy buena calidad por el precio.,true,47,2024-05-15
4,92,333,1,Cumple expectativas,No cumplió mis expectativas.,true,4,2024-06-03
5,85,175,3,Podría mejorar,El producto es correcto pero la entrega tardó.,true,4,2025-05-10
6,41,38,3,Satisfecho,No cumplió mis expectativas.,true,25,2025-10-08
7,30,86,4,Podría mejorar,Cumple con lo prometido.,true,6,2023-07-01
8,58,141,4,Satisfecho,Llegó a tiempo y en perfecto estado.,true,37,2023-04-08
9,2,284,5,Buena calidad,Bueno pero esperaba un poco más.,false,31,2023-08-28
10,36,137,5,No tan bueno,Cumple con lo prometido.,true,11,2025-06-01
11,39,92,4,Cumple expectativas,Excelente relación calidad-precio.,true,48,2023-02-19
12,7,290,4,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",true,17,2023-11-27
13,84,286,1,Excelente producto,El producto es correcto pero la entrega tardó.,true,33,2025-03-18
14,56,325,2,Excelente producto,Excelente relación calidad-precio.,false,15,2024-01-20
15,57,117,5,No tan bueno,Llegó a tiempo y en perfecto estado.,true,13,2024-03-21
16,93,52,1,No tan bueno,No cumplió mis expectativas.,false,31,2024-07-22
17,47,240,1,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",true,17,2024-08-16
18,25,69,1,Muy bueno,Bueno pero esperaba un poco más.,true,38,2024-11-14
19,88,266,3,Podría mejorar,El producto es correcto pero la entrega tardó.,true,35,2023-01-10
20,80,42,4,Muy bueno,Llegó a tiempo y en perfecto estado.,true,33,2023-05-04
21,62,271,3,Excelente producto,El producto es correcto pero la entrega tardó.,true,12,2024-05-27
22,27,217,4,Excelente producto,Muy buena calidad por el precio.,true,36,2024-11-12
23,4,289,2,Podría mejorar,Cumple con lo prometido.,false,42,2024-09-14
24,49,114,2,Cumple expectativas,Llegó a tiempo y en perfecto estado.,false,8,2023-09-19
25,95,107,5,Satisfecho,Cumple con lo prometido.,true,37,2023-09-22
26,79,39,2,Excelente producto,Muy buena calidad por el precio.,false,34,2025-02-01
27,7,60,4,Satisfecho,No cumplió mis expectativas.,true,21,2023-06-30
28,25,249,4,Buena calidad,Muy buena calidad por el precio.,true,33,2023-10-14
29,28,146,2,Satisfecho,Bueno pero esperaba un poco más.,true,43,2025-09-02
30,65,65,4,Excelente producto,Excelente relación calidad-precio.,true,47,2023-08-16
31,11,108,1,No tan bueno,El producto es correcto pero la entrega tardó.,true,33,2025-12-05
32,64,179,5,Recomendado,Excelente relación calidad-precio.,true,34,2025-05-03
33,66,158,1,Podría mejorar,Bueno pero esperaba un poco más.,true,13,2023-08-04
34,20,62,5,Recomendado,Cumple con lo prometido.,true,8,2023-09-14
35,6,288,3,Recomendado,Bueno pero esperaba un poco más.,true,29,2023-03-24
36,93,172,5,Buena calidad,Muy buena calidad por el precio.,true,33,2023-05-31
37,64,91,5,Buena calidad,Bueno pero esperaba un poco más.,true,42,2023-06-26
38,71,194,1,Satisfecho,Llegó a tiempo y en perfecto estado.,true,27,2025-04-13
39,5,23,3,Excelente producto,No cumplió mis expectativas.,true,30,2024-09-08
40,43,26,3,Buena calidad,Bueno pero esperaba un poco más.,false,3,2023-04-07
41,44,104,2,Buena calidad,Llegó a tiempo y en perfecto estado.,true,47,2025-11-24
42,75,76,4,Muy bueno,Muy buena calidad por el precio.,false,49,2023-08-02
43,83,309,2,No tan bueno,El producto es correcto pero la entrega tardó.,true,29,2024-09-30
44,30,97,5,Satisfecho,Llegó a tiempo y en perfecto estado.,false,31,2024-06-25
45,37,61,4,Buena calidad,Llegó a tiempo y en perfecto estado.,true,18,2024-10-03
46,62,64,1,Podría mejorar,Cumple con lo prometido.,false,28,2025-10-04
47,41,264,4,No tan bueno,No cumplió mis expectativas.,true,34,2023-04-01
48,1,161,5,Excelente producto,Bueno pero esperaba un poco más.,false,16,2023-10-31
49,83,108,1,Buena calidad,Llegó a tiempo y en perfecto estado.,true,38,2024-06-10
50,16,74,5,Muy bueno,No cumplió mis expectativas.,true,36,2025-09-21
51,88,275,2,Excelente producto,Muy buena calidad por el precio.,true,21,2024-02-22
52,84,267,3,Recomendado,El producto es correcto pero la entrega tardó.,false,42,2023-03-02
53,17,225,1,Excelente producto,Cumple con lo prometido.,true,33,2025-07-30
54,95,273,2,Recomendado,Muy buena calidad por el precio.,true,32,2025-08-23
55,96,186,5,Excelente producto,Bueno pero esperaba un poco más.,true,34,2025-07-08
56,59,27,5,Muy bueno,Muy buena calidad por el precio.,true,12,2024-11-10
57,60,293,2,Excelente producto,No cumplió mis expectativas.,false,46,2023-07-01
58,86,175,2,Satisfecho,Muy buena calidad por el precio.,false,32,2025-04-06
59,51,68,2,Cumple expectativas,Cumple con lo prometido.,true,39,2024-07-23
60,82,104,3,Cumple expectativas,Cumple con lo prometido.,false,4,2024-11-06
61,4,160,1,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,49,2024-06-14
62,29,304,2,Recomendado,No cumplió mis expectativas.,true,25,2024-09-21
63,59,294,5,Podría mejorar,No cumplió mis expectativas.,true,23,2023-04-28
64,40,172,3,Satisfecho,Muy buena calidad por el precio.,false,16,2024-01-12
65,7,242,4,Podría mejorar,Cumple con lo prometido.,false,14,2024-09-28
66,54,136,3,Muy bueno,Llegó a tiempo y en perfecto estado.,true,41,2023-01-15
67,59,247,5,Buena calidad,Muy buena calidad por el precio.,true,5,2024-05-24
68,64,105,5,No tan bueno,El producto es correcto pero la entrega tardó.,true,26,2023-02-06
69,66,84,4,Recomendado,El producto es correcto pero la entrega tardó.,true,2,2025-04-30
70,34,149,2,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,35,2024-07-08
71,15,262,5,Recomendado,Excelente relación calidad-precio.,true,16,2024-08-19
72,50,68,4,Cumple expectativas,Muy buena calidad por el precio.,true,8,2023-04-10
73,1,89,3,Excelente producto,Cumple con lo prometido.,false,21,2025-05-15
74,59,46,4,Satisfecho,Cumple con lo prometido.,true,40,2023-01-24
75,94,126,3,Excelente producto,Bueno pero esperaba un poco más.,true,38,2024-03-13
76,76,157,2,Excelente producto,El producto es correcto pero la entrega tardó.,true,10,2025-08-29
77,76,78,3,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,29,2024-09-27
78,40,186,3,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",true,7,2025-03-04
79,49,178,5,Cumple expectativas,No cumplió mis expectativas.,true,7,2024-07-23
80,88,294,2,Excelente producto,Excelente relación calidad-precio.,false,31,2025-11-30
